YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DATE,FLIGHT_ID
2015,6,9,2,US,851,PHL,DEN,1845,1838.0,-7.0,22.0,1900.0,263.0,278.0,247.0,1558,2107.0,9.0,2108,2116.0,8.0,0,0,,,,,,,2015-06-09,0
2015,5,28,4,HA,121,ITO,HNL,849,852.0,3.0,6.0,858.0,50.0,47.0,34.0,216,932.0,7.0,939,939.0,0.0,0,0,,,,,,,2015-05-28,1
2015,4,5,7,DL,2110,DFW,ATL,1315,1322.0,7.0,15.0,1337.0,125.0,117.0,95.0,731,1612.0,7.0,1620,1619.0,-1.0,0,0,,,,,,,2015-04-05,2
2015,6,24,3,WN,4031,OAK,SAN,620,620.0,0.0,13.0,633.0,90.0,85.0,69.0,446,742.0,3.0,750,745.0,-5.0,0,0,,,,,,,2015-06-24,3
2015,6,11,4,WN,572,BNA,DAL,955,959.0,4.0,11.0,1010.0,110.0,98.0,81.0,623,1131.0,6.0,1145,1137.0,-8.0,0,0,,,,,,,2015-06-11,4
2015,7,7,2,DL,1091,MSP,DEN,1730,1730.0,0.0,21.0,1751.0,125.0,123.0,95.0,680,1826.0,7.0,1835,1833.0,-2.0,0,0,,,,,,,2015-07-07,5
2015,10,24,6,MQ,3036,TVC,ORD,605,557.0,-8.0,15.0,612.0,82.0,69.0,49.0,224,601.0,5.0,627,606.0,-21.0,0,0,,,,,,,2015-10-24,6
2015,2,18,3,NK,733,ORD,LAX,1115,1204.0,49.0,20.0,1224.0,264.0,270.0,240.0,1744,1424.0,10.0,1339,1434.0,55.0,0,0,,48.0,0.0,7.0,0.0,0.0,2015-02-18,7
2015,3,9,1,OO,5593,LAX,MSP,1710,1709.0,-1.0,25.0,1734.0,221.0,228.0,197.0,1535,2251.0,6.0,2251,2257.0,6.0,0,0,,,,,,,2015-03-09,8
2015,12,27,7,WN,402,MCO,ATL,1455,1628.0,93.0,8.0,1636.0,90.0,77.0,64.0,404,1740.0,5.0,1625,1745.0,80.0,0,0,,0.0,0.0,64.0,16.0,0.0,2015-12-27,9
2015,8,29,6,DL,925,ATL,CAE,2215,2208.0,-7.0,24.0,2232.0,58.0,59.0,31.0,192,2303.0,4.0,2313,2307.0,-6.0,0,0,,,,,,,2015-08-29,10
2015,2,28,6,EV,5936,ISN,DEN,811,803.0,-8.0,19.0,822.0,126.0,124.0,96.0,576,858.0,9.0,917,907.0,-10.0,0,0,,,,,,,2015-02-28,11
2015,4,6,1,OO,6433,SLC,LAX,2042,2118.0,36.0,21.0,2139.0,117.0,169.0,96.0,590,2215.0,52.0,2139,2307.0,88.0,0,0,,88.0,0.0,0.0,0.0,0.0,2015-04-06,12
2015,8,4,2,AA,47,ORD,PDX,1000,957.0,-3.0,11.0,1008.0,263.0,237.0,222.0,1739,1150.0,4.0,1223,1154.0,-29.0,0,0,,,,,,,2015-08-04,13
